run,x_final,y_final,theta_final_rad
1,0.920437,-0.000127,0.032268
2,0.92882,0.001542,-0.030852
3,0.92322,0.000387,-0.031248
4,0.928688,-0.000339,-0.000341
5,0.929125,0.000101,-0.00037
6,0.928912,-0.002931,-0.031475
7,0.928788,-0.000156,-0.033041
8,0.929125,0.000952,-0.031776
9,0.922787,-0.001267,-0.03272
10,0.929122,0.000284,0.000188
11,0.928838,0.000139,0.030985
12,0.928713,0.00046,0.000589
13,0.928794,-0.002082,-7.6e-05
14,0.928983,0.002196,-0.061742
15,0.928823,-0.000992,0.030872
16,0.928737,-0.000867,0.03226
17,0.928996,0.001603,-0.063429
18,0.929115,-0.00023,0.001255
19,0.928716,0.000475,0.00093
20,0.928678,-0.000405,0.000499
